2024-01-02 04:36:17,501 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -220 75 88
2024-01-02 04:36:19,058 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -173 65 149
2024-01-02 04:36:19,872 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -168 50 340
2024-01-02 04:36:23,567 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -32 27 251
2024-01-02 04:45:57,134 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -67 39 128
2024-01-02 04:45:58,213 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -31 30 195
2024-01-02 05:24:20,761 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -271 32 475
2024-01-02 05:25:21,871 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -360 48 536
2024-01-02 05:26:07,210 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 5 43 198
2024-01-02 05:27:02,876 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -455 34 466
2024-01-02 05:28:02,594 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 31 32 417
2024-01-02 05:28:04,914 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 78 35 211
2024-01-02 05:28:05,758 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 103 29 318
2024-01-02 05:38:00,800 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 9870 52 -50
2024-01-02 05:38:01,790 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10049 61 -65
2024-01-02 05:38:09,390 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10003 62 -24
2024-01-02 05:38:15,385 [Server thread] INFO SGS Treasure! | DungeonGenerator.java:244 | CHEATED! Dungeon spawned at coords: 10038 64 -130
2024-01-02 05:51:11,424 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10150 72 213
2024-01-02 09:33:57,109 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -388 84 105
2024-01-02 09:33:58,906 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -332 24 136
2024-01-02 09:34:00,353 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -262 46 116
2024-01-02 09:34:01,500 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: -255 49 248
2024-01-02 09:34:02,479 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -225 73 261
2024-01-02 09:50:58,708 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -331 67 95
2024-01-02 09:51:00,241 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -286 37 4
2024-01-02 09:51:01,988 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: -261 46 178
2024-01-02 09:51:02,758 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -225 73 261
2024-01-02 09:51:04,239 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -161 92 75
2024-01-02 09:51:08,740 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -58 85 320
2024-01-02 13:46:54,986 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -336 40 93
2024-01-02 13:46:56,906 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -266 24 81
2024-01-02 13:46:57,719 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -246 57 76
2024-01-02 13:46:59,430 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -158 32 -38
2024-01-02 13:47:00,956 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -103 85 -35
2024-01-02 15:21:14,565 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -272 39 -219
2024-01-02 15:21:16,199 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -224 36 -253
2024-01-02 15:22:20,404 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -4 39 9
2024-01-02 15:22:32,237 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -230 34 48
2024-01-02 15:23:24,367 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 9901 32 -27
2024-01-02 15:23:25,296 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10026 30 -40
2024-01-02 15:23:25,952 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10087 29 79
2024-01-02 15:23:27,485 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10133 30 120
2024-01-02 15:23:27,587 [Server thread] INFO SGS Treasure! | DeepOceanTreasureShipGenerator.java:143 | CHEATER! Treasure Ship generated at coords: 10128 30 122
2024-01-02 15:23:38,553 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10155 32 20
2024-01-02 15:23:43,825 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 644 30 -7
2024-01-02 15:23:54,495 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10214 34 -339
2024-01-02 15:24:03,774 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10030 30 -493
2024-01-02 15:24:07,000 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10155 35 -530
2024-01-02 15:24:08,622 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10157 22 -561
2024-01-02 15:24:15,930 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10277 30 -376
2024-01-02 15:24:17,261 [Server thread] INFO SGS Treasure! | DeepOceanTreasureShipGenerator.java:143 | CHEATER! Treasure Ship generated at coords: 10300 32 -343
2024-01-02 15:24:28,478 [Server thread] WARN SGS Treasure! | TreasureChestBlock.java:496 | Unable to obtain handle to local world saved data.
2024-01-02 15:24:43,304 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 20016 44 1052
2024-01-02 15:24:44,184 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 20065 38 905
2024-01-02 15:24:45,638 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 19983 32 1040
2024-01-02 15:24:46,406 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 19928 60 1122
2024-01-02 15:24:47,013 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: 19889 22 932
2024-01-02 15:25:38,727 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 19985 61 759
2024-01-02 16:40:17,947 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -236 27 -158
2024-01-02 16:40:19,401 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -192 42 -54
2024-01-02 16:40:20,771 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -131 41 -192
2024-01-02 16:40:21,739 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -77 31 -351
2024-01-02 16:41:56,439 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10006 23 -23
2024-01-02 16:42:08,135 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: 9974 58 1030
2024-01-02 16:42:08,710 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10022 37 909
2024-01-02 16:42:09,913 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 9965 68 883
2024-01-02 16:42:16,051 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 9849 70 1138
2024-01-02 18:33:25,305 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -272 39 -219
2024-01-02 18:33:27,011 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -224 36 -253
